headline,inLanguage,datePublished,reviewBody,ratingValue,Company
Fin oplevelse,da,2018-08-08T17:10:43Z,Fin oplevelse. Man ved hvad man får.,4,www.jensens.com
Alt i alt en god oplevelse.,da,2018-08-08T17:04:15Z,Alt i alt en god oplevelse.,4,www.jensens.com
Skide gode mad og service på jensens…,da,2018-08-08T14:15:54Z,Skide gode mad og service på jensens bøfhus i Aalborg 👌🏻👌🏻,5,www.jensens.com
Jensens bøfhus i Svendborg dårlig betjening og bøf,da,2018-08-08T11:41:02Z,"Jensens bøfhus i Svendborg. Fik en utrolig dårlig betjening (tror hun hed Anne)Selv om der ikke var særlig travlt gik der 25 min fra vi ankom til de ryttere bordet fra dem der havde siddet der før os. Beskidt dug og en sur betjening . Der gik 50 min fra vi ankom og til vi fik maden, og så var bøffen sej og senet, og der var heller ikke meget opmærksomhed fra betjeningen. Skulle man have mere sovs eller, så skulle man selv gå ind i restauranten og lede efter tjeneren, vi sad ude på fortovsrestauranten. Nok sidste gang vi spiser der",1,www.jensens.com
Mega gode saucer som kan handles i de…,da,2018-08-07T15:34:56Z,Mega gode saucer som kan handles i de fleste supermarkeder,5,www.jensens.com
På Jensens i Hillerød fik jeg en super…,da,2018-08-07T14:52:20Z,På Jensens i Hillerød fik jeg en super høflig betjening og maden var rigtig god.. Det var meget bedre denne gang end sidste gang jeg var her.,4,www.jensens.com
At slå Mc'Donnalds i larm og skrigende…,da,2018-08-07T14:03:28Z,"At slå Mc'Donnalds i larm og skrigende unger der tror at det er en legeplads er noget af en præstation. Det værste var dog at en 6 årig med snot hængende ud af næsen, først bruger fingrende til at tørre sig i ansigtet med og derefter proppe dem ned i den salat andre skal spise er for ulækkert. Og her er det jo de små ""guldklumper"" der må alt. En ting er at forældre ikke kan finde ud af hvornår børn er gamle nok er en ting, men at personalet ikke smed de 3-4 bøtter ud hvor der var snot i salaten, men kun lige fjernede det øverste lag snotsalat og skiftede det hele ud var en gang for ulækkert. Har I aldrig overvejet at voksne også skal være der ?",1,www.jensens.com
Jensens bøfhus Herning centeret,da,2018-08-07T12:36:22Z,"Super dårlig oplevelse. Man kunne ikke få lov at sidde udenfor selv om der var 10 ledige borde. En del af maden i snack kurven var kold. Det eneste der blev gjort ved det, var en kommentar med om man ville have byttet de par stykker der var kolde. Vi blev nødt til at forlade stedet efter over en times ventetid hvor hovedmenuen stadig ikke var dukket op. Det er rimeligt sløjt idet der blot var tale om to burgere.",1,www.jensens.com
En ekstraordinær oplevelse,da,2018-08-06T19:40:22Z,"Jeg var på Jensen’s Bøfhus i Hillerød og fik en helt igennem professionel og tilfredsstillende betjening. Jeg blev betjent af den søde Amanda, som havde fuldt ud styr på tingene og fik oplevelsen til at være en noget ud-over-det-sædvanlige. Maden var også dejlig.",5,www.jensens.com
Kan anbefales,da,2018-08-06T19:12:19Z,"Var på Jensen bøfhus i Hillerød , fik super dejligt mad og vi fik en super god betjening , de var høflige, venlige og mega serviceminded",5,www.jensens.com
"Jensens Bøfhus - City Syd, Aalborg",da,2018-08-06T17:56:38Z,"God mad, god service til billige penge. God og høflig betjening som sørgede for at der absolut ikke manglede noget (City Syd - Aalborg)",4,www.jensens.com
Super service,da,2018-08-06T17:53:57Z,"Rigtig god mad, og super service på City Syd Ålborg",5,www.jensens.com
Mæt og glad :),da,2018-08-06T14:54:09Z,"Mæt og glad :) . God betjening .. lækre bøffer og gode sprøde søde kartofler .. uhmm . 
Kommer snart igen 😊",5,www.jensens.com
Jensens Bøfhus i storcenter i Kolding,da,2018-08-06T14:20:02Z,"Jensens Bøfhus i storcenter i Kolding
Nedslående oplevelse.
Lille appetit. Bestilte derfor en børneburger med 125 g hakket oksekød til 49. Ønskede et glas vand dertil fremgår af menukortet. Fik en karaffel vand. 
Okseburgeren var slet ikke stegt nok  (nærmest rå)  spiste kun lidt af den puha..
Pommes frites var ok. Ved betaling sagde den unge mand, at han nok skulle give kritikken videre - intet andet.(ikke en ny bøf) Hvad angår vand ønskede jeg et  glas vand men fik en karaffel vand.  Kun børnene kunne få et glas vand oplyste han.!!!
Alt i alt en særdeles dårlig oplevelse - jeg kan godt forstå at det ikke går godt for bøfhuset, hvis det er standard. De kunne lære en del af konkurrenten på modsatte side.",1,www.jensens.com
God og rigtig god service der manglede…,da,2018-08-06T12:15:02Z,God mad og rigtig god service der manglede ingenting. Vi kommer helt sikkert snart igen.,5,www.jensens.com
Havde en meget dårlig oplevelse på Axel…,da,2018-08-06T07:49:43Z,"Havde en meget dårlig oplevelse på Axel torv kbh.

VI er kun 2 personer og efter at have stået og ventet i 20 min, får vi så af vide at der er ca 10 min ventetid på et bord. Det undre vi os over, da vi gerne vil side ude og spise og der er ret mange pladser, både til 2, 4 og 6 personer. (Manden foran os kommer til med det samme) Da vi så endelig får et bord, så sider vi ca 40 min for at få lov til at bestillet. Bestillingen går godt til at starte med, men begår en fejl (ændre min bøf til 220g) så hun skal starte helt forfra og beklager sig over deres system i forhold til bestilling. (Denne information havde jeg ikke behøvet at få) Heldigvis går der kun 25 min inden maden kommer, men til trods for min bestilling på ekstra ting som ikke kom med. Så spørger jeg pænt om jeg kan få det, hun blev ret sur og kom med det ca 10 min senere. Da vi så er færdig og skal betale og retter henvendelse, sker der intet. Hmm, må vi få lov til at betale ? Efter at have bedt om det et par gange, vælger vi at gå inden for. Her står en medarbejder som jeg ikke har set før og jeg stiller mig foran kassen, da jeg kan se han taster noget ind (tænker jeg venter lidt, inden jeg spørger om jeg må betale) Men uden at spørge mig om noget går han. Går ud til bordet da vi havde hørt da vi stod i kø, at man ikke kan betale indenfor, men skal snakke med dem udenfor. Efter 45 min får vi lov til at betale, her har vi rettet henvendelse til 4 personer og dog betaler vi indenfor. ALt i alt en meget dårlig oplevelse, men heldigvis var bøffen god til trods for at nogle sendte den tilbage igen. (Manden foran os betaler 15 min før os)",1,www.jensens.com
Meget venlig og professionel betjening…,da,2018-08-05T19:01:49Z,Meget venlig og professionel betjening i Rosenkrantzgade i Århus. Maden smagte dejligt. 👍🏻😊,5,www.jensens.com
Godt mad,da,2018-08-05T11:29:00Z,"Jensens bøfhus i Randers var en 
Virkelig god oplevelse, maden smagte rigtig god, og betjeningen var god.",5,www.jensens.com
God mad og dejlig servic,da,2018-08-05T11:28:31Z,Rigtig god betjening og lækker mad. Dejlige omgivelser. Jensen bøfhus i Randers kan klart anbefales,5,www.jensens.com
En rigtig god oplevelse,da,2018-08-05T11:02:15Z,"En rigtig god oplevelse, god betjening. kan godt anbefales i Randers.",4,www.jensens.com
Fantastisk resturant i Randers,da,2018-08-05T11:00:54Z,Fantastisk resturant i Randers,5,www.jensens.com
Jeg var på jensen i forbindelse med et…,da,2018-08-04T18:57:32Z,"Jeg var på jensen i forbindelse med et besi silkeborg. Fantastisk bøf og fin betjening.
Jeg var så på en overnatning med datter og børnebørn, også i silkeborg. Som pensionist skal man vælge med omhu, når man tager børnebørn med ud at spise, det er der sjældent råd til. 
Vi fik at vide at vi måtte komme igen senere, då der var meget travlt. Vi kom så tilbage efter en halv time. ingen borde. Hvorfor kan vi ikke få det ovre i hjørnet, som er ledigt, surgte jeg. nå, jamen det kunne vi så. Vi bestilte, og maden kom ok hurtigt. Min bøf var sej, og det samme var min datters. vi klagede, og fik den besked, at når vi bestilte en gennemstegt, så måtte vi regne med det. Ok, men jeg forstår så ikke helt at I ikke tager gennemstegt af menuen. Hun tog vores mad. Der gik en halv time. Mine børnebørn var forlængst færdige, og var gået. Jeg henvendte mig, da jeg talte til 4, der kom senere end os, og havde fået mad. Det tager lang tid når den skal gennemsteges var svaret. Efter yderlige 20 minutter slap min tålmodighed op. Jeg henvendte mig igen. Den er lige ved at være klar var svaret. Desværre vi havde ikke mere tid, da vi skulle nå et tog. Så det blev en hurtig pølse på torvet, og ikke en lækker middag sammen med børnebørn. Hvor er det ærgeligt.
Desuden havde jeg oprettet et club kort og fået at vide at næste gang jeg spiste på Jensen var der 100 kr i rabat. Men nej sagde damen, det skulle jeg have fået, da det blev oprettet.
Prøv dog at lære Jeres personale ens regler",1,www.jensens.com
God mad og rigtig god betjening,da,2018-08-04T18:21:45Z,God mad og rigtig god betjening,4,www.jensens.com
Sød og god betjening og flot lokation,da,2018-08-04T16:59:38Z,"Sød og god betjening og flot lokation. Maden - særligt bøffen - er en trist affære. Fint stegt, men selve kødet er kedeligt og smager ikke rigtig af noget. Toiletter og legerum er der ikke investeret megen umage i og det giver et ret ringe indtryk. Desserten var til gengæld fin.",2,www.jensens.com
altid en fornøjelse .,da,2018-08-04T16:02:29Z,altid en fornøjelse .. god og høflig betjening,5,www.jensens.com
God bøf,da,2018-08-04T15:50:01Z,"I ca. 3 år har vi ikke været hos Jensens Bøfhus. I år gav vi den en chance, vi må sige, at bøffen har fået en anden smag. I juli måned, har vi være der hel 3 gange :-). Prøv den selv, i ville blive overraske.",5,www.jensens.com
God service og velsmagende mad,da,2018-08-04T14:56:48Z,God service og velsmagende mad,5,www.jensens.com
God mad,da,2018-08-04T14:54:27Z,God mad. God betjening,5,www.jensens.com
Super god mad og dygtigt personale,da,2018-08-03T19:48:56Z,Super god mad og dygtigt personale,5,www.jensens.com
Endnu en dejlig tur til restauranten i…,da,2018-08-03T19:44:18Z,Endnu en dejlig tur til restauranten i Holstebro... God mad og venligt personale 😁,5,www.jensens.com
Rigtig god oplevelse,da,2018-08-03T19:27:19Z,Lækker bøf og vin,5,www.jensens.com
God oplevelse,da,2018-08-03T18:33:16Z,"Flink tjerner, god mad og ikke for lang ventetid.",4,www.jensens.com
dejlig oplevelse på Jensens Bøfhus,da,2018-08-03T08:21:09Z,"dejlig oplevelse på Jensens Bøfhus, Silkeborg søndag den 29.7 og mandag den 30.7. Skøn mad, excellent service og dejlig stemning. Personalet fortjener et kæmpe klap på skulderen - uagtet varmen viste de stor overskud til at give en god service . Vi kommer selvfølgelig igen :-)",5,www.jensens.com
"Aldrig igen, eller....",da,2018-08-01T20:30:19Z,"Jeg havde svoret, at jeg var færdig med dette spisested, men jeg blev desværre overtalt af noget familie. Mit næst seneste besøg i Roskilde var elendigt med direkte uhøflig betjening, at jeg troede jeg var færdig med Jensens bøfhus. Jeg blev dog overtalt til at tage med i waves bl.a. På grund af nyt koncept, men som blot viste sig at være elendigt i nye klæder. Vi bestiller 4x frokostbøf, og jeg bestiller “Well done”. Resultatet bliver mere rødt end “rare” hvilket de andre ved mit bord gav mig ret i, til trods for at de godt kan lide rødt kød. Jeg får en “ny” da jeg klager, og med ny selvfølgeligt den samme jeg af gode grunde allerede havde skåret i tidligere, hvilket betød at saften var sivet ud, og var tør. Enhver anstændig kok havde lavet en ny, men jeg tvivler så også på, at det er faglært personale hos Jensens bøfhus. Alt i alt dårlig kvalitet leveret af inkompetente mennesker. I får en ekstra stjerne fordi at bøffen var gratis. (Jensens bøfhus i waves Hundige) 

I bliver aldrig danskernes favorit spisested igen, med mindre at danskernes standard seriøst er for lave!",2,www.jensens.com
Dejlig mad:),da,2018-08-01T18:14:16Z,Dejlig mad:) de har den bedste Burger i århus,5,www.jensens.com
Så super i Holbæk,da,2018-08-01T17:44:11Z,Så super i Holbæk. 5 stjerne i forhold til det forventet.,5,www.jensens.com
Laver som regel min pulled pork selv,da,2018-08-01T16:34:58Z,"Laver som regel min pulled pork selv, men tænkte at Jensens færdige kunne bruges i en snæver vending til burgere.. Men ak.

Fulgte anvisningen på pakken. Det gav et ikke færdigt produkt som ikke var til at rive fra hinanden, var pink indvendigt og så overkrydret at man kun kan tro at det et for at skjule smagen fra den lave kvalitet kød. Derudover blev det ikke trevlet, som jo er hele pointen, men sejt i den ene ende og grødagtig i den anden. 

Jeg troede at man ville prøve at rette op på sit renommé generelt hos Jensens, men det gælder vist ikke de varer der bliver solgt i butikkerne.",1,www.jensens.com
Så lang ventetid at vi gav op,da,2018-08-01T06:56:05Z,"Stod i kø i 15 minutter, på Læssøegade i Odense, inden vi opgav at komme til det bord, vi havde bestilt, fordi vi ikke kunne overskue udsigten til måske 10 minutter mere i kø og lang ventetid på maden, ifølge den tjener jeg spurgte.
Vi valgte Jensens, fordi vi ser det som en familierestaurant, hvor det er nemt at have sine børn med, men den oplevelse spiller altså ikke godt sammen med vores 2 børn på 4 og 7 år.",2,www.jensens.com
Bøf jensen - Skalborg,da,2018-07-31T13:00:50Z,"Bøf jensen - Skalborg

Fantastisk mad og service, med flinke og imødekommende tjener, samt fantastisk med lidt popcorn at starte på:-) og et plus at de er handikapvenlige☺ Ses helt sikkert igen!

Også rart med en kop kaffe på huset, selvom anmeldelsen ikke ændres af det...",5,www.jensens.com
Pakken lå og ventede,da,2018-07-31T10:10:28Z,"Pakken lå og ventede, som aftalt 👍🏻",5,www.jensens.com
Fantastisk restaurant i Svendborg,da,2018-07-31T08:35:40Z,"Mine 5 stjerner er for den i Svendborg. 
Nu har jeg prøvet de 3 restauranter der er på Fyn flere gang, og den i Svendborg er den eneste jeg pt vil komme på. Sikke da en service man få. Jeg kom der tidligere på året, en regn fuld dag, og tjeneren Anne Holm var så sød og finde tæppe og tænde for varmen ved det bord min familie og jeg sad, fordi jeg var driv våd og frøs, plus det var en kanon service vi fik, og maden var helt perfekt. 

Vi har været på restauranten ved skov søen i Odense 1 gang, og vi komme IKKE igen. Når det tager over 4 timer og spise fordi tjeneren ikke kan huske fra næse til mund og kokken ikke kan finde ud af og stege en bøf så man til sidst må spise den ""ny"" bøf da køkknet lukkede ja så gider man ikke komme igen. Den restaurant burde kun ha 1 stjerne, men jeg vælger og gi 5 udelukkende for den i Svendborg da det er en fantastisk oplevelse hver gang og min familie og jeg vil gerne støtte op om Jensens i denne sværer tid.",5,www.jensens.com
God betjening,da,2018-07-30T17:51:14Z,"God betjening. 
Maden var god .
Imødekomme  personale. 
Sådan skal det være.",4,www.jensens.com
